first word id ^ clause ^ clause function ^ clause level ^ length
1 ^ 1:1.w1-w8_2 ^  ^ 1 ^ 8
1286 ^ 4:4.w17-w20 ^ adjunct ^ 1 ^ 4
1290 ^ 4:5.w1-w9 @4:4.w1-w4 ^ adjunct ^ 1 ^ 9
1299 ^ 4:5.w10-w17 @4:5.w1-w9 ^ adjunct ^ 1 ^ 8
1307 ^ 4:6.w1-w3 @4:5.w10-w17 ^ adjunct ^ 1 ^ 3
1310 ^ 4:6.w4-w8 @4:6.w9-w11 ^ adjunct ^ 2 ^ 3
1313 ^ 4:6.w5 ^ adjunct ^ 2 ^ 2
1315 ^ 4:6.w9-w11 @4:6.w1-w3 ^ adjunct ^ 1 ^ 3
1318 ^ 4:6.w12-w13 @4:6.w9-w11 ^ adjunct ^ 1 ^ 2
1320 ^ 4:6.w14-w20 @4:6.w12-w13 ^ adjunct ^ 1 ^ 7
1327 ^ 4:6.w21-w25 @4:6.w14-w20 ^ adjunct ^ 1 ^ 5
1332 ^ 4:6.w26-w32 @4:6.w21-w25 ^ adjunct ^ 2 ^ 7
1339 ^ 4:7.w1-w5 @4:6.w1-w3 ^ adjunct ^ 1 ^ 5
1344 ^ 4:7.w6_2 @4:7.w1-w5 ^ adjunct ^ 1 ^ 1
1345 ^ 4:7.w7-w12 @4:7.w6_2 ^ adjunct ^ 1 ^ 6
1351 ^ 4:8.w1-w9 @4:7.w1-w5 ^ adjunct ^ 1 ^ 9
1360 ^ 4:8.w10-w21 @4:8.w1-w9 ^ adjunct ^ 1 ^ 12
1372 ^ 4:9.w1-w3 @4:8.w10-w21 ^ adjunct ^ 1 ^ 3
1375 ^ 4:9.w4-w7 @4:9.w1-w3 ^ adjunct ^ 1 ^ 2
1377 ^ 4:9.w4 ^ adjunct ^ 1 ^ 2
1379 ^ 4:9.w8-w11 @4:9.w4-w7 ^ adjunct ^ 2 ^ 1
1380 ^ 4:9.w9_2 ^ adjunct ^ 1 ^ 3
1383 ^ 4:10.w1-w5 @4:9.w1-w3 ^ adjunct ^ 1 ^ 5
1388 ^ 4:10.w6-w7 @4:10.w1-w5 ^ adjunct ^ 1 ^ 2
1390 ^ 4:10.w8-w9 @4:10.w6-w7 ^ adjunct ^ 1 ^ 2
1392 ^ 4:10.w10-w14 @4:10.w8-w9 ^ adjunct ^ 1 ^ 5
1397 ^ 4:10.w15-w18 @4:10.w10-w14 ^ adjunct ^ 1 ^ 4
1401 ^ 4:11.w1-w5 @4:10.w1-w5 ^ adjunct ^ 1 ^ 5
1406 ^ 4:11.w6-w7 @4:11.w1-w5 ^ adjunct ^ 1 ^ 2
1408 ^ 4:11.w8-w9 @4:11.w6-w7 ^ adjunct ^ 1 ^ 2
1410 ^ 4:11.w10-w12 @4:11.w8-w9 ^ adjunct ^ 1 ^ 3
1413 ^ 4:12.w1_2 ^ adjunct ^ 1 ^ 2
1415 ^ 4:12.w3-w5 ^ adjunct ^ 1 ^ 7
1422 ^ 4:13.w1-w15 @4:12.w1-w9 ^ adjunct ^ 1 ^ 1
1423 ^ 4:13.w2-w4 ^ adjunct ^ 1 ^ 3
1426 ^ 4:13.w5_2 ^ adjunct ^ 1 ^ 11
1437 ^ 4:14.w1-w9 @4:13.w1-w15 ^ adjunct ^ 2 ^ 2
1439 ^ 4:14.w3-w9 ^ adjunct ^ 1 ^ 6
1445 ^ 4:14.w9_2 ^ adjunct ^ 1 ^ 1
1446 ^ 4:15.w1-w13_2 @4:14.w1-w9 ^ adjunct ^ 2 ^ 13
1459 ^ 4:16.w1-w9 @4:15.w1-w13_2 ^ adjunct ^ 2 ^ 2
1461 ^ 4:16.w3-w6 ^ adjunct ^ 1 ^ 6
1467 ^ 4:16.w7 ^ adjunct ^ 1 ^ 1
1468 ^ 4:16.w10-w17 @4:16.w1-w9 ^ adjunct ^ 2 ^ 8
1476 ^ 4:16.w18-w20 @4:16.w10-w17 ^ adjunct ^ 2 ^ 3
1479 ^ 4:17.w1-w8 @4:13.w1-w15 ^ adjunct ^ 1 ^ 5
1484 ^ 4:17.w6_2 ^ adjunct ^ 1 ^ 1
1485 ^ 4:17.w7-w8 ^ adjunct ^ 1 ^ 2
1487 ^ 4:17.w9_2 @4:17.w1-w8 ^ adjunct ^ 1 ^ 1
1488 ^ 4:17.w10-w15 @4:17.w9_2 ^ adjunct ^ 1 ^ 6
1494 ^ 4:18.w1-w7 ^ adjunct ^ 1 ^ 11
1505 ^ 4:18.w12-w14 ^ adjunct ^ 1 ^ 8
1513 ^ 4:18.w20-w24 ^ adjunct ^ 1 ^ 5
1518 ^ 4:18.w25-w27 @4:18.w1-w24 ^ adjunct ^ 2 ^ 3
1521 ^ 4:19.w1-w3 @4:18.w1-w24 ^ adjunct ^ 1 ^ 3
